"","flips","player","result","change","streak","num_Make","prior_makes_3"
"198","Make",2,1,0,95,2,FALSE
"199","Make",2,1,0,95,3,FALSE
"200","Miss",2,0,1,96,0,TRUE
"201","Make",3,1,1,97,1,FALSE
"202","Miss",3,0,1,98,0,FALSE
"203","Make",3,1,1,99,1,FALSE
"204","Make",3,1,0,99,2,FALSE
"205","Make",3,1,0,99,3,FALSE
"206","Miss",3,0,1,100,0,TRUE
"207","Miss",3,0,0,100,0,FALSE
"208","Make",3,1,1,101,1,FALSE
"209","Make",3,1,0,101,2,FALSE
"210","Make",3,1,0,101,3,FALSE
"211","Miss",3,0,1,102,0,TRUE
"212","Make",3,1,1,103,1,FALSE
"213","Miss",3,0,1,104,0,FALSE
"214","Make",3,1,1,105,1,FALSE
"215","Miss",3,0,1,106,0,FALSE
"216","Make",3,1,1,107,1,FALSE
"217","Make",3,1,0,107,2,FALSE
"218","Make",3,1,0,107,3,FALSE
"219","Make",3,1,0,107,4,TRUE
"220","Make",3,1,0,107,5,TRUE
"221","Miss",3,0,1,108,0,TRUE
"222","Make",3,1,1,109,1,FALSE
"223","Make",3,1,0,109,2,FALSE
"224","Miss",3,0,1,110,0,FALSE
"225","Miss",3,0,0,110,0,FALSE
"226","Miss",3,0,0,110,0,FALSE
"227","Miss",3,0,0,110,0,FALSE
"228","Make",3,1,1,111,1,FALSE
"229","Miss",3,0,1,112,0,FALSE
"230","Make",3,1,1,113,1,FALSE
"231","Miss",3,0,1,114,0,FALSE
"232","Miss",3,0,0,114,0,FALSE
"233","Make",3,1,1,115,1,FALSE
"234","Make",3,1,0,115,2,FALSE
"235","Make",3,1,0,115,3,FALSE
"236","Make",3,1,0,115,4,TRUE
"237","Miss",3,0,1,116,0,TRUE
"238","Miss",3,0,0,116,0,FALSE
"239","Make",3,1,1,117,1,FALSE
"240","Make",3,1,0,117,2,FALSE
"241","Make",3,1,0,117,3,FALSE
"242","Make",3,1,0,117,4,TRUE
"243","Make",3,1,0,117,5,TRUE
"244","Miss",3,0,1,118,0,TRUE
"245","Miss",3,0,0,118,0,FALSE
"246","Miss",3,0,0,118,0,FALSE
"247","Make",3,1,1,119,1,FALSE
"248","Make",3,1,0,119,2,FALSE
"249","Miss",3,0,1,120,0,FALSE
"250","Miss",3,0,0,120,0,FALSE
"251","Make",3,1,1,121,1,FALSE
"252","Miss",3,0,1,122,0,FALSE
"253","Miss",3,0,0,122,0,FALSE
"254","Miss",3,0,0,122,0,FALSE
"255","Make",3,1,1,123,1,FALSE
"256","Make",3,1,0,123,2,FALSE
"257","Miss",3,0,1,124,0,FALSE
"258","Make",3,1,1,125,1,FALSE
"259","Miss",3,0,1,126,0,FALSE
"260","Miss",3,0,0,126,0,FALSE
"261","Miss",3,0,0,126,0,FALSE
"262","Miss",3,0,0,126,0,FALSE
"263","Make",3,1,1,127,1,FALSE
"264","Make",3,1,0,127,2,FALSE
"265","Miss",3,0,1,128,0,FALSE
"266","Make",3,1,1,129,1,FALSE
"267","Miss",3,0,1,130,0,FALSE
"268","Miss",3,0,0,130,0,FALSE
"269","Miss",3,0,0,130,0,FALSE
"270","Make",3,1,1,131,1,FALSE
"271","Make",3,1,0,131,2,FALSE
"272","Miss",3,0,1,132,0,FALSE
"273","Miss",3,0,0,132,0,FALSE
"274","Make",3,1,1,133,1,FALSE
"275","Make",3,1,0,133,2,FALSE
"276","Make",3,1,0,133,3,FALSE
"277","Miss",3,0,1,134,0,TRUE
"278","Miss",3,0,0,134,0,FALSE
"279","Make",3,1,1,135,1,FALSE
"280","Make",3,1,0,135,2,FALSE
"281","Make",3,1,0,135,3,FALSE
"282","Miss",3,0,1,136,0,TRUE
"283","Make",3,1,1,137,1,FALSE
"284","Miss",3,0,1,138,0,FALSE
"285","Make",3,1,1,139,1,FALSE
"286","Make",3,1,0,139,2,FALSE
"287","Make",3,1,0,139,3,FALSE
"288","Miss",3,0,1,140,0,TRUE
"289","Make",3,1,1,141,1,FALSE
"290","Miss",3,0,1,142,0,FALSE
"291","Make",3,1,1,143,1,FALSE
"292","Make",3,1,0,143,2,FALSE
"293","Miss",3,0,1,144,0,FALSE
"294","Make",3,1,1,145,1,FALSE
"295","Miss",3,0,1,146,0,FALSE
"296","Miss",3,0,0,146,0,FALSE
"297","Miss",3,0,0,146,0,FALSE
"298","Make",3,1,1,147,1,FALSE
"299","Make",3,1,0,147,2,FALSE
"300","Miss",3,0,1,148,0,FALSE
"301","Make",4,1,1,149,1,FALSE
"302","Make",4,1,0,149,2,FALSE
"303","Miss",4,0,1,150,0,FALSE
"304","Make",4,1,1,151,1,FALSE
"305","Miss",4,0,1,152,0,FALSE
"306","Make",4,1,1,153,1,FALSE
"307","Miss",4,0,1,154,0,FALSE
"308","Miss",4,0,0,154,0,FALSE
"309","Miss",4,0,0,154,0,FALSE
"310","Make",4,1,1,155,1,FALSE
"311","Miss",4,0,1,156,0,FALSE
"312","Make",4,1,1,157,1,FALSE
"313","Miss",4,0,1,158,0,FALSE
"314","Miss",4,0,0,158,0,FALSE
"315","Miss",4,0,0,158,0,FALSE
"316","Miss",4,0,0,158,0,FALSE
"317","Miss",4,0,0,158,0,FALSE
"318","Miss",4,0,0,158,0,FALSE
"319","Make",4,1,1,159,1,FALSE
"320","Make",4,1,0,159,2,FALSE
"321","Make",4,1,0,159,3,FALSE
"322","Miss",4,0,1,160,0,TRUE
"323","Make",4,1,1,161,1,FALSE
"324","Make",4,1,0,161,2,FALSE
"325","Make",4,1,0,161,3,FALSE
"326","Make",4,1,0,161,4,TRUE
"327","Miss",4,0,1,162,0,TRUE
"328","Make",4,1,1,163,1,FALSE
"329","Miss",4,0,1,164,0,FALSE
"330","Make",4,1,1,165,1,FALSE
"331","Miss",4,0,1,166,0,FALSE
"332","Make",4,1,1,167,1,FALSE
"333","Miss",4,0,1,168,0,FALSE
"334","Miss",4,0,0,168,0,FALSE
"335","Make",4,1,1,169,1,FALSE
"336","Make",4,1,0,169,2,FALSE
"337","Miss",4,0,1,170,0,FALSE
"338","Make",4,1,1,171,1,FALSE
"339","Make",4,1,0,171,2,FALSE
"340","Make",4,1,0,171,3,FALSE
"341","Make",4,1,0,171,4,TRUE
"342","Miss",4,0,1,172,0,TRUE
"343","Make",4,1,1,173,1,FALSE
"344","Make",4,1,0,173,2,FALSE
"345","Make",4,1,0,173,3,FALSE
"346","Make",4,1,0,173,4,TRUE
"347","Miss",4,0,1,174,0,TRUE
"348","Make",4,1,1,175,1,FALSE
"349","Make",4,1,0,175,2,FALSE
"350","Make",4,1,0,175,3,FALSE
"351","Miss",4,0,1,176,0,TRUE
"352","Miss",4,0,0,176,0,FALSE
"353","Miss",4,0,0,176,0,FALSE
"354","Miss",4,0,0,176,0,FALSE
"355","Make",4,1,1,177,1,FALSE
"356","Miss",4,0,1,178,0,FALSE
"357","Miss",4,0,0,178,0,FALSE
"358","Make",4,1,1,179,1,FALSE
"359","Miss",4,0,1,180,0,FALSE
"360","Miss",4,0,0,180,0,FALSE
"361","Make",4,1,1,181,1,FALSE
"362","Make",4,1,0,181,2,FALSE
"363","Miss",4,0,1,182,0,FALSE
"364","Make",4,1,1,183,1,FALSE
"365","Make",4,1,0,183,2,FALSE
"366","Make",4,1,0,183,3,FALSE
"367","Miss",4,0,1,184,0,TRUE
"368","Make",4,1,1,185,1,FALSE
"369","Miss",4,0,1,186,0,FALSE
"370","Miss",4,0,0,186,0,FALSE
"371","Make",4,1,1,187,1,FALSE
"372","Miss",4,0,1,188,0,FALSE
"373","Make",4,1,1,189,1,FALSE
"374","Miss",4,0,1,190,0,FALSE
"375","Make",4,1,1,191,1,FALSE
"376","Make",4,1,0,191,2,FALSE
"377","Miss",4,0,1,192,0,FALSE
"378","Make",4,1,1,193,1,FALSE
"379","Make",4,1,0,193,2,FALSE
"380","Make",4,1,0,193,3,FALSE
"381","Make",4,1,0,193,4,TRUE
"382","Miss",4,0,1,194,0,TRUE
"383","Make",4,1,1,195,1,FALSE
"384","Make",4,1,0,195,2,FALSE
"385","Make",4,1,0,195,3,FALSE
"386","Miss",4,0,1,196,0,TRUE
"387","Miss",4,0,0,196,0,FALSE
"388","Make",4,1,1,197,1,FALSE
"389","Make",4,1,0,197,2,FALSE
"390","Make",4,1,0,197,3,FALSE
"391","Make",4,1,0,197,4,TRUE
"392","Miss",4,0,1,198,0,TRUE
"393","Miss",4,0,0,198,0,FALSE
"394","Make",4,1,1,199,1,FALSE
"395","Make",4,1,0,199,2,FALSE
"396","Miss",4,0,1,200,0,FALSE
"397","Make",4,1,1,201,1,FALSE
"398","Make",4,1,0,201,2,FALSE
"399","Miss",4,0,1,202,0,FALSE
"400","Miss",4,0,0,202,0,FALSE
"401","Make",5,1,1,203,1,FALSE
"402","Make",5,1,0,203,2,FALSE
"403","Miss",5,0,1,204,0,FALSE
"404","Make",5,1,1,205,1,FALSE
"405","Miss",5,0,1,206,0,FALSE
"406","Make",5,1,1,207,1,FALSE
"407","Miss",5,0,1,208,0,FALSE
"408","Make",5,1,1,209,1,FALSE
"409","Miss",5,0,1,210,0,FALSE
"410","Miss",5,0,0,210,0,FALSE
"411","Make",5,1,1,211,1,FALSE
"412","Make",5,1,0,211,2,FALSE
"413","Make",5,1,0,211,3,FALSE
"414","Make",5,1,0,211,4,TRUE
"415","Make",5,1,0,211,5,TRUE
"416","Make",5,1,0,211,6,TRUE
"417","Miss",5,0,1,212,0,TRUE
"418","Miss",5,0,0,212,0,FALSE
"419","Make",5,1,1,213,1,FALSE
"420","Miss",5,0,1,214,0,FALSE
"421","Make",5,1,1,215,1,FALSE
"422","Make",5,1,0,215,2,FALSE
"423","Miss",5,0,1,216,0,FALSE
"424","Miss",5,0,0,216,0,FALSE
"425","Miss",5,0,0,216,0,FALSE
"426","Miss",5,0,0,216,0,FALSE
"427","Make",5,1,1,217,1,FALSE
"428","Make",5,1,0,217,2,FALSE
"429","Miss",5,0,1,218,0,FALSE
"430","Make",5,1,1,219,1,FALSE
"431","Make",5,1,0,219,2,FALSE
"432","Make",5,1,0,219,3,FALSE
"433","Miss",5,0,1,220,0,TRUE
"434","Miss",5,0,0,220,0,FALSE
"435","Miss",5,0,0,220,0,FALSE
"436","Miss",5,0,0,220,0,FALSE
"437","Miss",5,0,0,220,0,FALSE
"438","Make",5,1,1,221,1,FALSE
"439","Make",5,1,0,221,2,FALSE
"440","Make",5,1,0,221,3,FALSE
"441","Miss",5,0,1,222,0,TRUE
"442","Miss",5,0,0,222,0,FALSE
"443","Miss",5,0,0,222,0,FALSE
"444","Make",5,1,1,223,1,FALSE
"445","Miss",5,0,1,224,0,FALSE
"446","Miss",5,0,0,224,0,FALSE
"447","Make",5,1,1,225,1,FALSE
"448","Make",5,1,0,225,2,FALSE
"449","Miss",5,0,1,226,0,FALSE
"450","Make",5,1,1,227,1,FALSE
"451","Miss",5,0,1,228,0,FALSE
"452","Miss",5,0,0,228,0,FALSE
"453","Miss",5,0,0,228,0,FALSE
"454","Miss",5,0,0,228,0,FALSE
"455","Make",5,1,1,229,1,FALSE
"456","Make",5,1,0,229,2,FALSE
"457","Make",5,1,0,229,3,FALSE
"458","Miss",5,0,1,230,0,TRUE
"459","Make",5,1,1,231,1,FALSE
"460","Make",5,1,0,231,2,FALSE
"461","Miss",5,0,1,232,0,FALSE
"462","Miss",5,0,0,232,0,FALSE
"463","Miss",5,0,0,232,0,FALSE
"464","Miss",5,0,0,232,0,FALSE
"465","Miss",5,0,0,232,0,FALSE
"466","Make",5,1,1,233,1,FALSE
"467","Make",5,1,0,233,2,FALSE
"468","Miss",5,0,1,234,0,FALSE
"469","Make",5,1,1,235,1,FALSE
"470","Make",5,1,0,235,2,FALSE
"471","Make",5,1,0,235,3,FALSE
"472","Miss",5,0,1,236,0,TRUE
"473","Miss",5,0,0,236,0,FALSE
"474","Miss",5,0,0,236,0,FALSE
"475","Miss",5,0,0,236,0,FALSE
"476","Make",5,1,1,237,1,FALSE
"477","Make",5,1,0,237,2,FALSE
"478","Make",5,1,0,237,3,FALSE
"479","Miss",5,0,1,238,0,TRUE
"480","Make",5,1,1,239,1,FALSE
"481","Miss",5,0,1,240,0,FALSE
"482","Miss",5,0,0,240,0,FALSE
"483","Miss",5,0,0,240,0,FALSE
"484","Miss",5,0,0,240,0,FALSE
"485","Make",5,1,1,241,1,FALSE
"486","Miss",5,0,1,242,0,FALSE
"487","Make",5,1,1,243,1,FALSE
"488","Miss",5,0,1,244,0,FALSE
"489","Miss",5,0,0,244,0,FALSE
"490","Miss",5,0,0,244,0,FALSE
"491","Make",5,1,1,245,1,FALSE
"492","Miss",5,0,1,246,0,FALSE
"493","Miss",5,0,0,246,0,FALSE
"494","Make",5,1,1,247,1,FALSE
"495","Make",5,1,0,247,2,FALSE
"496","Make",5,1,0,247,3,FALSE
"497","Make",5,1,0,247,4,TRUE
"498","Miss",5,0,1,248,0,TRUE
"499","Make",5,1,1,249,1,FALSE
"500","Miss",5,0,1,250,0,FALSE
"501","Miss",6,0,1,251,0,FALSE
"502","Miss",6,0,0,251,0,FALSE
"503","Miss",6,0,0,251,0,FALSE
"504","Miss",6,0,0,251,0,FALSE
"505","Make",6,1,1,252,1,FALSE
"506","Miss",6,0,1,253,0,FALSE
"507","Miss",6,0,0,253,0,FALSE
"508","Miss",6,0,0,253,0,FALSE
"509","Miss",6,0,0,253,0,FALSE
"510","Miss",6,0,0,253,0,FALSE
"511","Make",6,1,1,254,1,FALSE
"512","Miss",6,0,1,255,0,FALSE
"513","Miss",6,0,0,255,0,FALSE
"514","Make",6,1,1,256,1,FALSE
"515","Make",6,1,0,256,2,FALSE
"516","Miss",6,0,1,257,0,FALSE
"517","Make",6,1,1,258,1,FALSE
"518","Make",6,1,0,258,2,FALSE
"519","Miss",6,0,1,259,0,FALSE
"520","Make",6,1,1,260,1,FALSE
"521","Make",6,1,0,260,2,FALSE
"522","Make",6,1,0,260,3,FALSE
"523","Make",6,1,0,260,4,TRUE
"524","Make",6,1,0,260,5,TRUE
"525","Make",6,1,0,260,6,TRUE
"526","Miss",6,0,1,261,0,TRUE
"527","Make",6,1,1,262,1,FALSE
"528","Miss",6,0,1,263,0,FALSE
"529","Miss",6,0,0,263,0,FALSE
"530","Miss",6,0,0,263,0,FALSE
"531","Make",6,1,1,264,1,FALSE
"532","Miss",6,0,1,265,0,FALSE
"533","Miss",6,0,0,265,0,FALSE
"534","Make",6,1,1,266,1,FALSE
"535","Make",6,1,0,266,2,FALSE
"536","Miss",6,0,1,267,0,FALSE
"537","Make",6,1,1,268,1,FALSE
"538","Miss",6,0,1,269,0,FALSE
"539","Miss",6,0,0,269,0,FALSE
"540","Miss",6,0,0,269,0,FALSE
"541","Miss",6,0,0,269,0,FALSE
"542","Miss",6,0,0,269,0,FALSE
"543","Miss",6,0,0,269,0,FALSE
"544","Make",6,1,1,270,1,FALSE
"545","Make",6,1,0,270,2,FALSE
"546","Miss",6,0,1,271,0,FALSE
"547","Make",6,1,1,272,1,FALSE
"548","Make",6,1,0,272,2,FALSE
"549","Make",6,1,0,272,3,FALSE
"550","Make",6,1,0,272,4,TRUE
"551","Make",6,1,0,272,5,TRUE
"552","Make",6,1,0,272,6,TRUE
"553","Miss",6,0,1,273,0,TRUE
"554","Make",6,1,1,274,1,FALSE
"555","Miss",6,0,1,275,0,FALSE
"556","Miss",6,0,0,275,0,FALSE
"557","Make",6,1,1,276,1,FALSE
"558","Miss",6,0,1,277,0,FALSE
"559","Miss",6,0,0,277,0,FALSE
"560","Miss",6,0,0,277,0,FALSE
"561","Make",6,1,1,278,1,FALSE
"562","Miss",6,0,1,279,0,FALSE
"563","Make",6,1,1,280,1,FALSE
"564","Make",6,1,0,280,2,FALSE
"565","Miss",6,0,1,281,0,FALSE
"566","Make",6,1,1,282,1,FALSE
"567","Make",6,1,0,282,2,FALSE
"568","Make",6,1,0,282,3,FALSE
"569","Make",6,1,0,282,4,TRUE
"570","Miss",6,0,1,283,0,TRUE
"571","Make",6,1,1,284,1,FALSE
"572","Make",6,1,0,284,2,FALSE
"573","Miss",6,0,1,285,0,FALSE
"574","Make",6,1,1,286,1,FALSE
"575","Miss",6,0,1,287,0,FALSE
"576","Miss",6,0,0,287,0,FALSE
"577","Make",6,1,1,288,1,FALSE
"578","Make",6,1,0,288,2,FALSE
"579","Make",6,1,0,288,3,FALSE
"580","Make",6,1,0,288,4,TRUE
"581","Miss",6,0,1,289,0,TRUE
"582","Miss",6,0,0,289,0,FALSE
"583","Make",6,1,1,290,1,FALSE
"584","Miss",6,0,1,291,0,FALSE
"585","Make",6,1,1,292,1,FALSE
"586","Miss",6,0,1,293,0,FALSE
"587","Miss",6,0,0,293,0,FALSE
"588","Make",6,1,1,294,1,FALSE
"589","Make",6,1,0,294,2,FALSE
"590","Make",6,1,0,294,3,FALSE
"591","Miss",6,0,1,295,0,TRUE
"592","Miss",6,0,0,295,0,FALSE
"593","Make",6,1,1,296,1,FALSE
"594","Make",6,1,0,296,2,FALSE
"595","Miss",6,0,1,297,0,FALSE
"596","Miss",6,0,0,297,0,FALSE
"597","Miss",6,0,0,297,0,FALSE
"598","Make",6,1,1,298,1,FALSE
"599","Miss",6,0,1,299,0,FALSE
"600","Make",6,1,1,300,1,FALSE
"601","Miss",7,0,1,301,0,FALSE
"602","Make",7,1,1,302,1,FALSE
"603","Make",7,1,0,302,2,FALSE
"604","Make",7,1,0,302,3,FALSE
"605","Make",7,1,0,302,4,TRUE
"606","Miss",7,0,1,303,0,TRUE
"607","Miss",7,0,0,303,0,FALSE
"608","Miss",7,0,0,303,0,FALSE
"609","Miss",7,0,0,303,0,FALSE
"610","Miss",7,0,0,303,0,FALSE
"611","Make",7,1,1,304,1,FALSE
"612","Miss",7,0,1,305,0,FALSE
"613","Miss",7,0,0,305,0,FALSE
"614","Miss",7,0,0,305,0,FALSE
"615","Miss",7,0,0,305,0,FALSE
"616","Miss",7,0,0,305,0,FALSE
"617","Miss",7,0,0,305,0,FALSE
"618","Make",7,1,1,306,1,FALSE
"619","Make",7,1,0,306,2,FALSE
"620","Miss",7,0,1,307,0,FALSE
"621","Make",7,1,1,308,1,FALSE
"622","Make",7,1,0,308,2,FALSE
"623","Make",7,1,0,308,3,FALSE
"624","Make",7,1,0,308,4,TRUE
"625","Miss",7,0,1,309,0,TRUE
"626","Miss",7,0,0,309,0,FALSE
"627","Make",7,1,1,310,1,FALSE
"628","Miss",7,0,1,311,0,FALSE
"629","Miss",7,0,0,311,0,FALSE
"630","Make",7,1,1,312,1,FALSE
"631","Miss",7,0,1,313,0,FALSE
"632","Make",7,1,1,314,1,FALSE
"633","Make",7,1,0,314,2,FALSE
"634","Miss",7,0,1,315,0,FALSE
"635","Miss",7,0,0,315,0,FALSE
"636","Make",7,1,1,316,1,FALSE
"637","Make",7,1,0,316,2,FALSE
"638","Miss",7,0,1,317,0,FALSE
"639","Miss",7,0,0,317,0,FALSE
"640","Make",7,1,1,318,1,FALSE
"641","Make",7,1,0,318,2,FALSE
"642","Make",7,1,0,318,3,FALSE
"643","Make",7,1,0,318,4,TRUE
"644","Make",7,1,0,318,5,TRUE
"645","Make",7,1,0,318,6,TRUE
"646","Miss",7,0,1,319,0,TRUE
"647","Make",7,1,1,320,1,FALSE
"648","Make",7,1,0,320,2,FALSE
"649","Make",7,1,0,320,3,FALSE
